Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
DEPT OF PARKS & RECREATION,1,COMMUNITY COORDINATOR,2026-01-23,"1.	Extensive working knowledge of Xplor Recreation. 2.	Proven track record of working with data visualization software and business intelligence tools, such as Power BI, Tableau or Microsoft Excel SharePoint. 3.	Experience with GIS and SQL. 4.	Experience communicating and presenting both verbally and visually to diverse stakeholders. 5.	Ability to work effectively as part of a team as well as independently.",62868,97593,80230
HRA/DEPT OF SOCIAL SERVICES,2,ASSOCIATE BENEFITS OPPORTUNITY,2025-12-30,,60275,69316,64796
CAMPAIGN FINANCE BOARD,1,ANALYST CFB AL 2&3 ONLY,2025-12-18,,95000,115000,105000
NYC HOUSING AUTHORITY,1,EXECUTIVE AGENCY COUNSEL,2026-01-13,"The successful candidate will demonstrate:  •	Excellent written and verbal communication skills. •	Strong litigation skills and thorough knowledge of personal injury law and practice. •	Exceptional analytical, organizational, and problem-solving abilities. •	Strong legal writing, editing, and oral advocacy skills. •	Ability to work collaboratively and lead teams effectively. •	Proficiency with Microsoft Office applications, including Excel and Teams. •	Facility with litigation technology, case management systems, and electronic discovery platforms. •	Ability to train, mentor, and develop attorneys and staff. •	Ability to use data and technology to monitor performance and enhance productivity.  Preferred candidates will also have:  •	Significant personal experience directly negotiating tort matters to resolution in court, private mediation, and other negotiations with adversaries without the aid of outside counsel. •	Demonstrated ability to independently evaluate liability and damages and develop informed settlement strategies. •	Significant personal experience directly assessing case value based on pleadings, medical records, discovery materials, and testimony without the aid of outside counsel.  •	Extensive direct familiarity with current personal injury valuation trends developed through personal negotiations and research adversaries without the aid of outside counsel. •	Experience supervising attorneys handling large and complex caseloads. •	Experience overseeing high-volume calendars and coordinating multiple settlement-related activities. •	Experience preparing and presenting case analyses, recommendations, and performance metrics to senior leadership.",140000,150000,145000
HRA/DEPT OF SOCIAL SERVICES,1,COMMUNITY COORDINATOR,2025-12-29,,62868,97593,80230
DEPARTMENT FOR THE AGING,1,PROGRAM OFFICER (DEPT FOR THE,2026-01-27,"• Proficiency in Microsoft Office Suite; Excel, Word preferred.  • Candidates must be willing to travel extensively within the five boroughs of New York City.  • Bi-lingual (Spanish, Chinese) is a plus.",66059,75968,71014
DEPT OF HEALTH/MENTAL HYGIENE,1,COMMUNITY ASSOCIATE,2025-11-12,,44545,61000,52772
DEPT OF DESIGN & CONSTRUCTION,1,ASSOCIATE PROJECT MANAGER,2025-12-22,"Candidates should have the ability to manage construction managers; complete multiple multi-trade projects on schedule; possess strong computer, organizational, verbal, and written communication skills; and should be attentive to details.",78740,90551,84646
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH ADVISER (SCHOOL,2025-03-05,,50128,57637,53882
DEPARTMENT OF TRANSPORTATION,1,ADMINISTRATIVE PROJECT MANAGER,2026-01-17,"Working knowledge of Adobe Acrobat, Microsoft Windows, Microsoft Word, and Microsoft Excel. Have a valid drivers license.  NACE/SSPC Painting Inspector Level II or III. SSPC C3/C5 certification. OSHA 40 Hour HAZWOPER a plus. Proficient with NYSDOT and NYCDOT Specifications, OSHA, MURK, EPA and DEP specifications, MUTCD, SSPC and NACE Painting Specifications.",62407,172854,117630
DISTRICT ATTORNEY KINGS COUNTY,1,COMMUNITY ASSOCIATE,2026-02-02,,70210,70210,70210
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE STAFF ANALYST (,2022-09-16,"Considerable fiscal experience in the preparation of annual Budgets, Spending Plans, and data reports for all PS and OTPS Expense Budget activities.   •	Working knowledge of City-specific IT applications including FMS, Passport, NYC Financial Management System (FMS), etc.  •	Working knowledge of Microsoft Office Suite applications. •	Strong leadership and change management skills. •	Ability to build partnerships with Sr. Staff, managers, supervisors, and employees, and operate as a trusted advisor. •	Advanced analytical and reporting skills. •	Excellent interpersonal and communication skills.",94715,130000,112358
DEPT OF HEALTH/MENTAL HYGIENE,1,COMMUNITY ASSOCIATE,2026-01-16,,44545,51227,47886
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE STAFF ANALYST (,2023-09-13,"•             Previous human resources experience. •             Strong analytical & statistical skills, attention to detail and ability to research complex issues; •             Stellar judgment and sensitivity when responding to the needs and expectations of multiple employee audiences (including frontline staff, managers, senior staff, leadership); •             Excellent relationship management skills, influencing ability, and humility; self-starter who is extremely organized and able to manage multiple priorities concurrently; •             Proven ability to handle sensitive material and information with discretion; confidentiality is a condition of employment; •             Strong aptitude/ability to pick up new skills quickly. •             Presentation skills",94715,136260,115488
DEPT OF DESIGN & CONSTRUCTION,1,CIVIL ENGINEER,2025-12-19,"Please note the following preferred skills for this position:  1.	Must have strong supervisory experience.  2.	Outstanding verbal and written communication skills 3.	Proficiency in Microsoft Office and AutoCAD 4.	Construction knowledge relevant to infrastructure projects (sewers, water mains, roadways) 5.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 6.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 7.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 8.	Valid driver's license (required) 9.	Personal vehicle (optional)",93614,107656,100635
DEPARTMENT OF PROBATION,2,AGENCY ATTORNEY,2026-01-13,- Excellent legal writing skills are required.  - Outstanding communication skills. - Strong legal research skills. - Strong computer skills in Microsoft Word and Outlook. - Legal case management database experience.,92525,136593,114559
DEPT OF HEALTH/MENTAL HYGIENE,1,LABORATORY ASSOCIATE,2025-12-10,,55187,59140,57164
DEPT OF HEALTH/MENTAL HYGIENE,1,COMMUNITY ASSOCIATE,2025-12-11,,50714,58323,54518
POLICE DEPARTMENT,2,AGENCY ATTORNEY,2025-12-17,"Excellent verbal, interpersonal, research and writing skills. Possess the ability to issue spot and formulate an opinion as to assigned review and must also possess excellent communication and organizational skills. A background in criminal law, while not required, is preferred.",80387,120466,100426
POLICE DEPARTMENT,1,CITY RESEARCH SCIENTIST,2026-01-26,"1. Prior experience in grant writing/management, project management, accounting, and/or budgeting 2. Proficiency with New York City financial systems and web-based reporting systems, such as grants.gov, NG grants, CHRMS etc. 3. Excellent writing skills and a high level of proficiency with Microsoft Excel and maintaining financial spreadsheets 4. Knowledge of City, State, and Federal rules governing fiscal and programmatic reporting for DHS grants",87743,110120,98932
DEPT OF DESIGN & CONSTRUCTION,1,PROJECT MANAGER INTERN#,2026-01-07,"Candidate should possess excellent organizational, verbal, and written skills, with the ability to multi-task various projects. Proficiency in Microsoft Office is preferred.",59888,68871,64380
HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY COORDINATOR,2025-12-18,,62868,72298,67583
DEPARTMENT OF TRANSPORTATION,1,IT PROJECT SPECIALIST,2024-05-18,"•	Strong knowledge and understanding in SharePoint server. •	Experience using Microsoft Power Apps •	Microsoft Project Server.  •	Ability to apply, maintain, and manage permissions (including users, groups, and categories, e.g., Project, Resources)  •	Able to demonstrate experience that includes a heavy focus on Portal, Collaboration, ECM, Enterprise Integration and Architecture with a specific focus on SharePoint 2016 On Premise and Office 365/SharePoint Online and MS technologies  •	Experience in Microsoft Project/Project-related aspects of SharePoint.  •	Ability to communicate Project Server product benefits and our service capabilities and offerings to IT and business leaders.  •	Experience performing Project Server backup and restoration.  •	Great communications and customer service skills.  •	Experience building custom SharePoint web parts and custom SharePoint Visual Studio workflows· Understanding of building SharePoint customizations using site definitions, custom content types, features and solution packages.  •	Experience working on Medium to Large-Scale SharePoint Farms. •	Strong expertise in Business Process Automation and Strong understanding of InfoPath Forms Services and experience building custom InfoPath forms with backend systems and web services.  •	Willing to ask questions, offer up new ideas, and contribute to the overall success of the team.  •	Microsoft Certified Professional Developer (MCPD) preferred. •	Excellent leadership skills including the ability to develop and communicate a vision that inspires and motivates staff and aligns with the overall IT and business strategies. •	Ability to build partnerships with the business units and demonstrate the business value of IT. •	Ability to build partnerships and work effectively with the IT teams. •	 Excellent analytical, strategic conceptual thinking, planning, and execution skills. •	Strong business acumen, including industry and domain-specific knowledge of the enterprise and its business units •	Understanding of current and emerging Cloud infrastructure technologies and practices and how other organizations are employing them and the ability to identify and act on opportunities for continuous improvement •	Excellent verbal and written communication skills, including the ability to explain technical concepts and technologies to business leaders and business concepts to the IT workforce and to effectively negotiate contracts •	Strong knowledge with Cloud technologies such as Azure and Microsoft 365 •	Strong knowledge with Security and Compliance with regards to Best Security practices",75000,160000,117500
